College_Name,Zone ,State,Stream,UG_fee,PG_fee,Rating,Academic,Accommodation,Faculty,Infrastructure,Placement,Social_Life
"Navsari Agricultural University, Navsari ",Western,Gujarat,Agriculture,"45,100","42,900",8,8.3,7.4,8.4,7.8,7.8,8.2
Gujarat Vidyapith ,Western,Gujarat,Agriculture,0,0,8.4,9,7.9,9.1,8.4,7.6,8.1
Asia Pacific Institute of Management ,Western,Gujarat,Agriculture,"90,000",0,6.8,7.7,6,7.3,6.3,6.3,7.3
Marwadi University ,Western,Gujarat,Agriculture,"75,000",0,8.3,8.2,8.3,8.2,9.1,7.7,8.2
RK University ,Western,Gujarat,Agriculture,"61,000","1,00,000",8.5,9,7.9,8.6,9,7.8,8.5
Gokul Global University ,Western,Gujarat,Agriculture,"20,000","16,000",8.5,9,7,9.3,8.7,8,8.7
Parul Institute of Engineering and Technology ,Western,Gujarat,Agriculture,"45,150",0,7.9,7.8,7.3,7.9,8.5,7.3,8.6
Noble Group of Institution ,Western,Gujarat,Agriculture,"35,250",0,8.4,8.8,8,8.8,9.2,6.8,8.5
"Lords Institute of Management, Surat ",Western,Gujarat,Agriculture,"71,980","80,358",7.3,0,0,8,0,7,7
Cambay Institute of Hospitality Management ,Western,Gujarat,Agriculture,"1,10,000",0,0,0,0,0,0,0,0
"Swarrnim Startup & Innovation University, Gandhi Nagar ",Western,Gujarat,Agriculture,"70,000",0,6.5,7,6,6.6,6.5,5.6,7.4
Parul Institute of Technology ,Western,Gujarat,Agriculture,"50,000",0,7.9,7.9,6.9,8,8.6,7.7,8.2
"Shri Saraswati Gramvidyapith, Patan ",Western,Gujarat,Agriculture,0,0,0,0,0,0,0,0,0
"College of Veterinary Science and Animal Husbandry, ",Western,Gujarat,Agriculture,0,0,8.3,8.5,8,8.5,8,8,8.5
"AIMS College of Management and Technology, Anand ",Western,Gujarat,Agriculture,0,0,0,0,0,0,0,0,0
"Gujarat Institute of Hotel Management, Vadodara ",Western,Gujarat,Agriculture,0,0,7.2,6.8,6.3,8.5,6.8,7.8,7
"Maharaja Krishnakumarsinhji Bhavnagar University, Bhavnagar ",Western,Gujarat,Agriculture,"21,450","16,450",8.6,8.6,7.9,9.3,9.1,7.6,9
Hemchandracharya North Gujarat University ,Western,Gujarat,Agriculture,0,0,7.9,8.8,5.5,8.2,8.5,7.6,8.5
"Saurashtra University, Rajkot ",Western,Gujarat,Agriculture,0,0,7.2,7.8,5.3,8,7.5,6.7,7.7
Veer Narmad South Gujarat University ,Western,Gujarat,Agriculture,"8,830","6,220",7.3,7.8,6.3,7.7,7.5,6.6,7.7
College of Veterinary Science & Animal Husbandry ,Western,Gujarat,Agriculture,"39,140",0,8.6,8.5,8.5,8.5,9.5,9,7.5
"School of Agriculture, Rai University ",Western,Gujarat,Agriculture,"1,10,600",0,0,0,0,0,0,0,0
"Faculty of Animal Husbandry, Noble Group of ",Western,Gujarat,Agriculture,"35,250",0,0,0,0,0,0,0,0
"Kamdhenu University, Gandhi Nagar ",Western,Gujarat,Agriculture,0,0,8.1,8.3,7.7,8.3,8.3,7.9,8
B. J. Medical College ,Western,Gujarat,Medical,"6,000","90,000",8.6,9,8.3,8.5,8.1,9.3,8.3
Indian Institute of Technology ,Western,Gujarat,Medical,"4,55,000",0,8.4,8.3,8.4,8.8,9.1,7.2,8.8
National Institute of Pharmaceutical Education And Research ,Western,Gujarat,Medical,"92,000",0,7.5,7.7,6.7,7.7,8,7.3,7.8
"Karnavati School of Dentistry, Karnavati University ",Western,Gujarat,Medical,"1,39,000",0,9.1,9.7,8,8.7,0,0,0
Maharaja Sayajirao University of Baroda ,Western,Gujarat,Medical,"27,500",0,7.9,8.3,7,8.4,8,7.2,8.4
"Government Medical College, Surat ",Western,Gujarat,Medical,"9,57,000","18,08,333",7.8,8.1,7.2,7.7,7.1,8.4,8.1
"Smt. NHL Municipal Medical College, Ahmedabad ",Western,Gujarat,Medical,"5,93,000","6,34,000",7.7,8.4,7.4,8.2,6.3,8.4,7.4
Pandit Deendayal Upadhyay Medical College ,Western,Gujarat,Medical,"25,000","90,000",8.3,9,8,8.4,8,8.7,7.6
C. U. Shah Medical College ,Western,Gujarat,Medical,"9,00,000","9,00,000",6.7,7.1,6.1,8,6.6,5.6,6.6
Pramukhswami Medical College ,Western,Gujarat,Medical,"8,22,000","25,000",8,8.7,6.2,8.8,8.3,8,8
"GCS Medical College, Hospital & Research Centre, ",Western,Gujarat,Medical,"6,48,000","10,50,000",8.1,8.5,7.3,8.5,8.5,7.8,7.9
Smt. B.K. Shah Medical Institute and Research ,Western,Gujarat,Medical,"15,95,000","12,50,000",7.1,7.7,6,7.8,5.7,7.8,7.7
Dr Babasaheb Ambedkar Open University ,Western,Gujarat,Medical,"4,200","4,200",7.7,8.5,5.5,8.5,8,7.5,8.1
Sardar Patel University ,Western,Gujarat,Medical,0,0,7.8,8.6,7,8.5,7.7,7.3,7.8
"Navsari Agricultural University, Navsari ",Western,Gujarat,Medical,"45,100",0,8,8.3,7.4,8.4,7.8,7.8,8.2
Gujarat Vidyapith ,Western,Gujarat,Medical,0,0,8.4,9,7.9,9.1,8.4,7.6,8.1
Karnavati University ,Western,Gujarat,Medical,"1,44,000",0,8.9,8.6,8.2,9.3,9.4,8.6,9.3
"Sumandeep Vidyapeeth, Vadodara ",Western,Gujarat,Medical,"55,000","17,500",7.8,8,7,8.2,8,7.5,8
"Atmiya University, Rajkot ",Western,Gujarat,Medical,"46,000",0,8.1,8.8,7.5,8.6,8.4,7.4,7.9
Ganpat University ,Western,Gujarat,Medical,"35,000","1,00,000",8.1,8.2,7.2,8.1,8.5,7.8,8.6
"C. U. Shah University, Wadhwan ",Western,Gujarat,Medical,"34,100",0,7.7,7.6,7,8.2,7.8,7.4,7.9
"P.P. Savani University, Surat ",Western,Gujarat,Medical,"78,500","1,43,500",9.3,9.4,8.9,9.5,9.6,8.7,9.4
"Indus University, Ahmedabad ",Western,Gujarat,Medical,"55,500",0,7.5,7.9,7,7.7,7.8,6.8,7.9
Marwadi University ,Western,Gujarat,Medical,"75,000","70,000",8.3,8.2,8.3,8.2,9.1,7.7,8.2
"Uka Tarsadia University, Bardoli ",Western,Gujarat,Medical,"1,12,000","2,48,000",8.1,7.8,7.9,8.2,9.4,6.9,8.3
RK University ,Western,Gujarat,Medical,"61,000","2,70,000",8.5,9,7.9,8.6,9,7.8,8.5
Dharmsinh Desai University ,Western,Gujarat,Medical,"7,85,000",0,7.7,8.5,7,8.3,7.1,8.1,6.9
ITM Vocational University ,Western,Gujarat,Medical,0,0,7.8,8.7,7.4,8,7.5,7.1,7.9
Charotar University of Science and Technology ,Western,Gujarat,Medical,"1,65,000","2,00,000",8.5,8.5,8,8.4,9.3,8.1,8.6
National Institute of Pharmaceutical Education And Research ,Western,Gujarat,Pharmacy,"91,588",0,7.5,7.7,6.7,7.7,8,7.3,7.8
Maharaja Sayajirao University of Baroda ,Western,Gujarat,Pharmacy,"1,500","2,100",7.9,8.3,7,8.4,8,7.2,8.4
LM College of Pharmacy ,Western,Gujarat,Pharmacy,"1,65,000","1,75,000",7.4,8,6.4,8.2,7.2,7.2,7.2
"BK Mody Government Pharmacy College, Surat ",Western,Gujarat,Pharmacy,"3,150","6,350",8.5,9.3,7.7,9.1,7.8,8.1,9.1
AR College of Pharmacy and GH Patel ,Western,Gujarat,Pharmacy,"1,35,000","1,58,000",7.7,8.7,6.6,8.7,8.1,6.5,7.6
Bhagwan Mahavir College of Pharmacy ,Western,Gujarat,Pharmacy,"82,000","1,42,000",8,8.3,8.3,8,8.3,7,8.3
Sardar Patel University ,Western,Gujarat,Pharmacy,0,0,7.8,8.6,7,8.5,7.7,7.3,7.8
L J Institute of Pharmacy ,Western,Gujarat,Pharmacy,"81,000","1,18,000",7.2,7.4,5.3,8.7,7.2,7,7.8
Nirma University ,Western,Gujarat,Pharmacy,"3,96,000","62,200",8.4,8.6,8,8.4,9.1,8.1,8.2
BV Patel Pharmaceutical Education and Research Development ,Western,Gujarat,Pharmacy,0,0,0,0,0,0,0,0,0
"Sumandeep Vidyapeeth, Vadodara ",Western,Gujarat,Pharmacy,"1,10,000","2,10,000",7.8,8,7,8.2,8,7.5,8
"Atmiya University, Rajkot ",Western,Gujarat,Pharmacy,"1,21,000","21,300",8.1,8.8,7.5,8.6,8.4,7.4,7.9
Ganpat University ,Western,Gujarat,Pharmacy,"1,53,000","60,000",8.1,8.2,7.2,8.1,8.5,7.8,8.6
"C. U. Shah University, Wadhwan ",Western,Gujarat,Pharmacy,"94,800","1,39,800",7.7,7.6,7,8.2,7.8,7.4,7.9
"Uka Tarsadia University, Bardoli ",Western,Gujarat,Pharmacy,"1,64,000","1,58,000",8.1,7.8,7.9,8.2,9.4,6.9,8.3
RK University ,Western,Gujarat,Pharmacy,"1,25,000","80,000",8.5,9,7.9,8.6,9,7.8,8.5
Dharmsinh Desai University ,Western,Gujarat,Pharmacy,"1,98,000","1,54,000",7.7,8.5,7,8.3,7.1,8.1,6.9
Rai University ,Western,Gujarat,Pharmacy,"70,600","50,600",7.1,7.2,7.1,7,6.9,6.8,7.7
"ITM SLS Baroda University, Vadodara ",Western,Gujarat,Pharmacy,"73,000",0,7.5,7.9,6.3,6.9,8.9,7.4,7.7
Charotar University of Science and Technology ,Western,Gujarat,Pharmacy,"1,30,000","1,89,000",8.5,8.5,8,8.4,9.3,8.1,8.6
"Khyati Foundation, Ahmedabad ",Western,Gujarat,Pharmacy,0,0,9.2,9.3,9,9.3,9.5,8.8,9
"Smt NilaBen ManuBhai Padalia Pharmacy College, Ahmedabad ",Western,Gujarat,Pharmacy,"59,000","98,000",8.2,9,7,9,8,7,9
Dr Subhash Technical Campus ,Western,Gujarat,Pharmacy,"79,000",0,8.3,8.1,7.9,8.7,8.4,8.3,8.4
Noble Group of Institution ,Western,Gujarat,Pharmacy,"54,000","95,000",8.4,8.8,8,8.8,9.2,6.8,8.5
Institute of Science and Technology for Advanced ,Western,Gujarat,Pharmacy,"60,000",0,6.9,8.6,3.3,8.7,8.9,5,6.8
Ashok and Rita Patel Institute of Integrated ,Western,Gujarat,Pharmacy,0,0,0,0,0,0,0,0,0
Bapu Gujarat Knowledge Village ,Western,Gujarat,Pharmacy,"82,000","1,13,000",0,0,0,0,0,0,0
Gujarat National Law University ,Western,Gujarat,Law,"1,86,000","1,47,000",8.5,8.6,8,8.7,9.3,8.1,8.1
"Institute of Law, Nirma University ",Western,Gujarat,Law,"1,30,000","2,97,700",7.5,7.6,7.4,7.2,8.7,6.7,7.3
Nirma University ,Western,Gujarat,Law,"97,200","1,30,000",8.4,8.6,8,8.4,9.1,8.1,8.2
"University School of Law, Gujarat University ",Western,Gujarat,Law,"4,380",0,0,0,0,0,0,0,0
Maharaja Sayajirao University of Baroda ,Western,Gujarat,Law,"8,560","12,260",7.9,8.3,7,8.4,8,7.2,8.4
Dr Babasaheb Ambedkar Open University ,Western,Gujarat,Law,"1,400","7,500",7.7,8.5,5.5,8.5,8,7.5,8.1
Navrachana University ,Western,Gujarat,Law,"1,10,000",0,7.7,7.7,7.4,8.2,8,7.2,7.8
Sardar Patel University ,Western,Gujarat,Law,0,0,7.8,8.6,7,8.5,7.7,7.3,7.8
"VT Choksi Sarvajanik Law College, Surat ",Western,Gujarat,Law,"45,000","54,789",5.8,8,8,6,7,1,5
Anand Law College ,Western,Gujarat,Law,"92,000","62,000",7,6.5,7.5,6.5,6.5,6.5,8.5
Gujarat Vidyapith ,Western,Gujarat,Law,0,0,8.4,9,7.9,9.1,8.4,7.6,8.1
"GLS University, Ahmedabad ",Western,Gujarat,Law,"50,000",0,7.9,8,6.9,8.5,8.1,7.6,8.5
Indian School of Business Management and Administration ,Western,Gujarat,Law,"14,900",0,8,8.8,7.6,8.1,8,7.9,7.8
"Auro University, Surat ",Western,Gujarat,Law,"1,30,000","1,65,000",8.3,8.2,8.5,8.6,8.7,7.2,8.6
"Atmiya University, Rajkot ",Western,Gujarat,Law,0,0,8.1,8.8,7.5,8.6,8.4,7.4,7.9
Ganpat University ,Western,Gujarat,Law,"1,00,000",0,8.1,8.2,7.2,8.1,8.5,7.8,8.6
"C. U. Shah University, Wadhwan ",Western,Gujarat,Law,"35,600","84,500",7.7,7.6,7,8.2,7.8,7.4,7.9
"Indus University, Ahmedabad ",Western,Gujarat,Law,"9,500",0,7.5,7.9,7,7.7,7.8,6.8,7.9
Marwadi University ,Western,Gujarat,Law,"50,000","1,25,000",8.3,8.2,8.3,8.2,9.1,7.7,8.2
"Daulatbhai Trivedi Law College, Ahmedabad ",Western,Gujarat,Law,0,0,7.9,8.5,8,8.5,8,6.5,8
Adani Institute of Infrastructure Management ,Western,Gujarat,Law,"7,60,000",0,8.1,7.9,8.1,8.3,9.3,7.9,6.9
Gokul Global University ,Western,Gujarat,Law,"48,000","25,000",8.5,9,7,9.3,8.7,8,8.7
"Khyati Foundation, Ahmedabad ",Western,Gujarat,Law,"68,700",0,9.2,9.3,9,9.3,9.5,8.8,9
BK Majumdar Institute of Business Administration ,Western,Gujarat,Law,0,0,8.3,8.8,7.8,8.4,9,7.6,8.4
Bapu Gujarat Knowledge Village ,Western,Gujarat,Law,"20,000",0,0,0,0,0,0,0,0
LJ University ,Western,Gujarat,Law,"2,00,000",0,8,8.8,7,8.3,8.8,8,7
National Institute of Technology ,Northern,Haryana,Engineering,"56,716","1,02,800",8.2,8,7.4,8.1,8.2,8.6,8.6
Panjab University ,Northern,Haryana,Engineering,"96,300","27,500",7.7,8.2,7.7,8,7.7,6.5,8.2
Punjab Engineering College University of Technology ,Northern,Haryana,Engineering,"96,750","93,500",8,7.9,7.3,7.6,7.7,8.4,9
National Institute of Food Technology Entrepreneurship and ,Northern,Haryana,Engineering,"1,71,550","1,52,950",8.1,8.5,7.1,6.9,9.4,8.5,7.9
"University Institute of Engineering, Chandigarh University ",Northern,Haryana,Engineering,"1,60,000","80,000",8.4,8.6,7.9,8.1,8.7,8.7,8.3
"School of Engineering and Technology, NCU ",Northern,Haryana,Engineering,"2,60,000","82,000",9,9,0,0,9,0,0
"J.C. Bose University Of Science And Technology, ",Northern,Haryana,Engineering,"83,625","83,625",7.3,7.7,6.5,7.4,6.6,7.7,7.6
Manav Rachna International Institute Of Research And ,Northern,Haryana,Engineering,"1,81,500","1,16,000",7.2,7.1,6.7,6.5,8.4,6.5,7.8
Manav Rachna International Institute of Research and ,Northern,Haryana,Engineering,"1,81,500","1,65,000",7.5,7.4,7.3,7.5,8.3,6.6,7.6
"Gurugram University, Gurgaon ",Northern,Haryana,Engineering,"40,000",0,8.2,8.6,7.4,8.4,8.6,8,8.1
"PDM University, Bahadurgarh, Bahadurgarh ",Northern,Haryana,Engineering,"1,00,200","41,200",7.4,7.1,7.6,7.4,7.5,7.1,7.7
"Amity University, Gurgaon ",Northern,Haryana,Engineering,"2,30,000","1,56,000",7.7,7.8,7.1,7.6,8.6,7.1,8.1
National Institute of Technical Teachers Training and ,Northern,Haryana,Engineering,"44,696","24,500",7.7,7.7,6.7,8.6,7.7,7.7,8
"IILM University, Gurgaon ",Northern,Haryana,Engineering,"3,30,000","4,30,000",8.4,8.2,7.4,8.5,8.6,8.6,8.8
"University Institute of Engineering and Technology -[UIET], ",Northern,Haryana,Engineering,"82,197","16,160",7.4,7.5,7.5,7.4,7,7,8.2
"Starex University, Gurgaon ",Northern,Haryana,Engineering,"80,000","40,000",8.8,9.1,9.1,8.7,8.6,8.5,8.7
Indian Institute of Information Technology ,Northern,Haryana,Engineering,"1,57,800",0,8.8,9.2,8.9,8.6,8.8,9.1,8.2
"SRM University Delhi NCR, Sonepat ",Northern,Haryana,Engineering,"2,72,000","1,67,250",7.8,8,7.5,7.9,8.1,7.6,7.9
"Lingaya's Vidyapeeth, Faridabad ",Northern,Haryana,Engineering,"1,34,500","84,500",7.8,8,7.5,8.1,7.7,7.3,8.1
Modern Vidya Niketan ,Northern,Haryana,Engineering,"1,35,000","95,000",7,7.2,6.4,7.7,7,6.8,6.8
Delhi Technical Campus ,Northern,Haryana,Engineering,"69,500",0,8.2,8.2,8.1,8.4,8,8.2,8.5
Chandigarh College of Engineering and Technology ,Northern,Haryana,Engineering,"64,240",0,6.9,7.2,6.4,7.1,6.9,6.5,7.3
Manav Rachna University ,Northern,Haryana,Engineering,"2,44,000","1,16,000",7.8,7.6,7.5,7.7,8.8,7.3,7.9
Seth Jai Parkash Mukand Lal Institute of ,Northern,Haryana,Engineering,"89,090",0,7.3,7.5,7.2,7.2,7.4,6.8,7.4
"Sushant University / Ansal University, Gurgaon ",Northern,Haryana,Engineering,"2,41,120","1,37,120",7.8,8,8,7.9,8.4,7,7.5
"University Institute of Engineering and Technology, Maharshi ",Northern,Haryana,Engineering,"74,288","84,288",7.2,7.1,7.5,6.6,8.6,5.7,7.7
St. Andrews Institute of Technology and Management ,Northern,Haryana,Engineering,"92,000",0,8.7,8.8,8.6,8.7,9,8.6,8.6
Management Development Institute ,Northern,Haryana,Management,"23,58,000","3,19,668",9,8.8,8.9,9,9.1,9.2,8.8
Indian Institute of Management ,Northern,Haryana,Management,"5,05,000","1,30,000",8.5,8.7,8.6,8.4,8.4,8.6,8.2
"University Business School, Panjab University ",Northern,Haryana,Management,"25,660",0,8.3,8.1,8.4,8.4,7.9,8.1,8.7
"University School of Business, Chandigarh University ",Northern,Haryana,Management,"1,05,000","1,95,000",9.1,9.1,8.8,9.1,9.2,9.3,8.9
"IILM Institute for Business & Management [IILM-IBM], ",Northern,Haryana,Management,"1,15,000","1,15,000",6.5,6.4,5.7,6.3,6.3,7.3,6.8
"O.P. Jindal Global University, Jindal Global Business ",Northern,Haryana,Management,"4,50,000","5,50,000",9.3,9.1,9.3,9.1,9.3,9.1,9.8
"Faculty of Management Studies, Manav Rachna International ",Northern,Haryana,Management,"2,98,500","1,65,000",8.7,0,0,9,0,8,9
JK Business School ,Northern,Haryana,Management,"93,000","3,58,900",8.2,8.2,8.3,8.2,8.4,7.6,8.4
Manav Rachna International Institute of Research and ,Northern,Haryana,Management,"2,98,500","1,61,000",7.5,7.4,7.3,7.5,8.3,6.6,7.6
"IBMR Business School, Gurgaon ",Northern,Haryana,Management,"2,97,000","5,75,000",8,8.3,7.8,8.2,7.8,8,7.8
Tilak Raj Chadha Institute of Management & ,Northern,Haryana,Management,"40,540","76,900",8.1,8.3,7.2,8.8,7.2,8.5,8.8
Amity Business School ,Northern,Haryana,Management,"30,000",0,7.5,7.4,7.4,7.7,8,6.9,7.3
"SRM University Delhi NCR, Sonepat ",Northern,Haryana,Management,"1,72,500","2,86,000",7.8,8,7.5,7.9,8.1,7.6,7.9
"Gurugram University, Gurgaon ",Northern,Haryana,Management,"40,000","40,000",8.2,8.6,7.4,8.4,8.6,8,8.1
"Great Learning, Gurgaon ",Northern,Haryana,Management,"2,25,000","3,00,000",7.7,7.5,6,8.6,8,8.4,7.8
"PDM University, Bahadurgarh, Bahadurgarh ",Northern,Haryana,Management,"81,700","1,35,000",7.4,7.1,7.6,7.4,7.5,7.1,7.7
BML Munjal University ,Northern,Haryana,Management,"5,25,000","2,72,000",8.1,8,8,7.9,8.5,7.8,8.3
"Amity University, Gurgaon ",Northern,Haryana,Management,"4,32,000","2,48,000",7.7,7.8,7.1,7.6,8.6,7.1,8.1
O. P. Jindal Global University ,Northern,Haryana,Management,"5,50,000","1,20,000",8.3,8.4,8.2,8.3,8.8,7.5,8.7
"IILM University, Gurgaon ",Northern,Haryana,Management,"7,50,000","3,30,000",8.4,8.2,7.4,8.5,8.6,8.6,8.8
ICFAI Business School ,Northern,Haryana,Management,"4,00,500",0,7.6,8.2,6.5,8.1,7.2,7.8,8
"Starex University, Gurgaon ",Northern,Haryana,Management,"1,00,000","65,000",8.8,9.1,9.1,8.7,8.6,8.5,8.7
Great Lakes Institute of Management ,Northern,Haryana,Management,"14,01,000","14,01,000",8.5,8.7,8.2,8.5,8.8,8.6,8.4
Modern Vidya Niketan ,Northern,Haryana,Management,"90,000","95,000",7,7.2,6.4,7.7,7,6.8,6.8
National Institute of Financial Management ,Northern,Haryana,Management,"15,00,000",0,8.8,9.3,9,8.7,8.1,8.1,9.4
Manav Rachna University ,Northern,Haryana,Management,"1,64,500","1,30,000",7.8,7.6,7.5,7.7,8.8,7.3,7.9
"Sushant University / Ansal University, Gurgaon ",Northern,Haryana,Management,"1,45,000","3,98,000",7.8,8,8,7.9,8.4,7,7.5
"NIILM University, Kaithal ",Northern,Haryana,Management,"2,40,000","40,000",8.1,8.6,7.9,8.5,7.9,7.8,8.1
Mehr Chand Mahajan Dayanand Anglo Vedic College ,Northern,Haryana,Science,"37,200","22,900",8.2,8.4,8,8.5,8.2,7.6,8.4
"Post Graduate Government College, Chandigarh ",Northern,Haryana,Science,"26,590","53,760",7.7,8.4,7.2,8.4,7.5,6.5,7.9
"Government Home Science College, Chandigarh ",Northern,Haryana,Science,"87,060","55,530",9.1,8.7,9.3,9.3,8.7,8.7,9.7
Goswami Ganesh Dutt Sanatan Dharama College ,Northern,Haryana,Science,"24,500",0,8.1,8.6,7.6,8.5,8.1,7.1,8.8
Post Graduate Institute of Medical Education & ,Northern,Haryana,Science,"7,320","3,470",8,8.3,6.8,8.8,8.2,8,8
Panjab University ,Northern,Haryana,Science,"12,700","12,000",7.7,8.2,7.7,8,7.7,6.5,8.2
National Dairy Research Institute ,Northern,Haryana,Science,"17,800",0,9,8.8,8.7,9.1,9.4,9.1,8.9
Maharshi Dayanand University ,Northern,Haryana,Science,"11,315","3,984",7.8,8,7.7,8,8.4,6.6,8
Government Medical College and Hospital ,Northern,Haryana,Science,"9,500","26,054",7.9,8.7,7,8.5,8.2,6.9,8.3
National Institute of Technology ,Northern,Haryana,Science,"16,000",0,8.2,8,7.4,8.1,8.2,8.6,8.6
Pt Bhagwat Dayal Sharma Post Graduate Institute ,Northern,Haryana,Science,"12,395","15,405",7.5,8.4,7.5,8.1,7.5,7.6,6.1
Chandigarh University ,Northern,Haryana,Science,"1,10,000","1,00,000",8.6,8.6,8.2,8.4,9,8.6,8.8
"Chitkara School of Hospitality -[CSH], Chandigarh ",Northern,Haryana,Science,0,0,8.4,8.7,7,9,8.3,8.7,8.5
"University Institute of Tourism and Hospitality Management, ",Northern,Haryana,Science,"1,16,000",0,9.6,9.8,9.4,9.8,9.6,9.6,9.6
Punjab Engineering College University of Technology ,Northern,Haryana,Science,"28,000",0,8,7.9,7.3,7.6,7.7,8.4,9
Apeejay Stya University ,Northern,Haryana,Science,"2,90,200","1,20,000",7.9,8.2,7.5,7.9,7.5,7.7,8.3
"University School of Business, Chandigarh University ",Northern,Haryana,Science,"60,000",0,9.1,9.1,8.8,9.1,9.2,9.3,8.9
Kurukshetra University ,Northern,Haryana,Science,"8,290","40,600",7.5,8.1,7,8,7.7,6.5,7.7
"Arya Post Graduate College, Panipat ",Northern,Haryana,Science,"28,900","48,500",7.8,8.4,6.8,8.8,8,6.3,8.6
National Institute of Food Technology Entrepreneurship and ,Northern,Haryana,Science,"1,15,690",0,8.1,8.5,7.1,6.9,9.4,8.5,7.9
Guru Jambheshwar University of Science and Technology ,Northern,Haryana,Science,"22,600","44,800",7.7,7.7,7.3,7.5,8.9,6.5,8
"J.C. Bose University Of Science And Technology, ",Northern,Haryana,Science,"53,195","53,195",7.3,7.7,6.5,7.4,6.6,7.7,7.6
Maharishi Markandeshwar ,Northern,Haryana,Science,"45,000","53,500",7.5,7.6,7.2,7.7,8.3,6.8,7.6
DAV College ,Northern,Haryana,Science,"29,065","58,910",8,8.4,7.4,8.3,8,6.8,8.8
"Morph Academy, Chandigarh ",Northern,Haryana,Science,"70,000","80,000",8.3,9,6,9,8.5,8.5,9
Manav Rachna International Institute Of Research And ,Northern,Haryana,Science,"1,16,000","1,65,000",7.2,7.1,6.7,6.5,8.4,6.5,7.8
"SRM University Delhi NCR, Sonepat ",Northern,Haryana,Science,"88,500","88,500",7.8,8,7.5,7.9,8.1,7.6,7.9
"Ashoka University, Sonepat ",Northern,Haryana,Science,"9,25,000","45,000",8.6,8.6,8.6,8.9,8.7,8.3,8.5
MM Institute of Hotel Management and Catering ,Northern,Haryana,Science,"53,500","70,500",0,0,0,0,0,0,0
"Gurugram University, Gurgaon ",Northern,Haryana,Science,"50,000",0,8.2,8.6,7.4,8.4,8.6,8,8.1
Mehr Chand Mahajan Dayanand Anglo Vedic College ,Northern,Haryana,Commerce,"23,930","24,940",8.2,8.4,8,8.5,8.2,7.6,8.4
Panjab University ,Northern,Haryana,Commerce,"8,410","9,975",7.7,8.2,7.7,8,7.7,6.5,8.2
Maharshi Dayanand University ,Northern,Haryana,Commerce,"3,984","3,192",7.8,8,7.7,8,8.4,6.6,8
Chandigarh University ,Northern,Haryana,Commerce,"1,05,000","60,000",8.6,8.6,8.2,8.4,9,8.6,8.8
"University Business School, Panjab University ",Northern,Haryana,Commerce,"50,275",0,8.3,8.1,8.4,8.4,7.9,8.1,8.7
Apeejay Stya University ,Northern,Haryana,Commerce,"2,90,200",0,7.9,8.2,7.5,7.9,7.5,7.7,8.3
"University School of Business, Chandigarh University ",Northern,Haryana,Commerce,"1,05,000","60,000",9.1,9.1,8.8,9.1,9.2,9.3,8.9
Kurukshetra University ,Northern,Haryana,Commerce,"21,697","7,440",7.5,8.1,7,8,7.7,6.5,7.7
"Arya Post Graduate College, Panipat ",Northern,Haryana,Commerce,"23,150","16,290",7.8,8.4,6.8,8.8,8,6.3,8.6
Guru Jambheshwar University of Science and Technology ,Northern,Haryana,Commerce,"44,450",0,7.7,7.7,7.3,7.5,8.9,6.5,8
DAV College ,Northern,Haryana,Commerce,"21,985","21,970",8,8.4,7.4,8.3,8,6.8,8.8
"SRM University Delhi NCR, Sonepat ",Northern,Haryana,Commerce,"1,41,000","99,000",7.8,8,7.5,7.9,8.1,7.6,7.9
Goswami Ganesh Dutt Sanatan Dharama College ,Northern,Haryana,Commerce,"24,500",0,8.1,8.6,7.6,8.5,8.1,7.1,8.8
"Post Graduate Government College, Chandigarh ",Northern,Haryana,Commerce,"20,110","21,200",7.7,8.4,7.2,8.4,7.5,6.5,7.9
"Gurugram University, Gurgaon ",Northern,Haryana,Commerce,"20,000","30,000",8.2,8.6,7.4,8.4,8.6,8,8.1
"Post Graduate Government College for Girls, Chandigarh ",Northern,Haryana,Commerce,"20,110","21,200",8.1,8.6,8.4,8.9,8.2,6.1,8.5
"PDM University, Bahadurgarh, Bahadurgarh ",Northern,Haryana,Commerce,"1,35,000","70,200",7.4,7.1,7.6,7.4,7.5,7.1,7.7
BML Munjal University ,Northern,Haryana,Commerce,"1,90,000",0,8.1,8,8,7.9,8.5,7.8,8.3
"Amity University, Gurgaon ",Northern,Haryana,Commerce,"1,30,000","1,16,000",7.7,7.8,7.1,7.6,8.6,7.1,8.1
O. P. Jindal Global University ,Northern,Haryana,Commerce,"3,50,000",0,8.3,8.4,8.2,8.3,8.8,7.5,8.7
Manav Rachna International Institute of Research and ,Northern,Haryana,Commerce,"1,36,000","1,36,000",7.5,7.4,7.3,7.5,8.3,6.6,7.6
"IILM University, Gurgaon ",Northern,Haryana,Commerce,"3,30,000","3,30,000",8.4,8.2,7.4,8.5,8.6,8.6,8.8
"Starex University, Gurgaon ",Northern,Haryana,Commerce,"65,000","50,000",8.8,9.1,9.1,8.7,8.6,8.5,8.7
Modern Vidya Niketan ,Northern,Haryana,Commerce,"85,000","80,000",7,7.2,6.4,7.7,7,6.8,6.8
National Institute of Financial Management ,Northern,Haryana,Commerce,"7,00,000",0,8.8,9.3,9,8.7,8.1,8.1,9.4
"KR Mangalam University, Gurgaon ",Northern,Haryana,Commerce,"80,000","1,20,000",7.7,8.1,7.5,7.3,8.6,7.2,7.4
